business_name,category,phone,email,website,rating,review_count,address,city,maps_url,status,notes,email_sent_date,preview_url
Nex Dental CARE Clinic,Dental clinic,706050229.0,,,,,Kampala ,"Kampala, Uganda","https://www.google.com/maps/place/Nex+Dental+CARE+Clinic/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbb233910561b:0x2c69084a0eb3dac1!8m2!3d0.3151692!4d32.5816313!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGGSAQ1kZW50YWxfY2xpbmlj4AEA!16s%2Fg%2F11krnwq2gd?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D",new,,,
Impressions Dental Clinic,Dental clinic,392002015.0,,,3.7,3.0,"Coral Cres, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Impressions+Dental+Clinic/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbb9ae56a8f37:0xf011be605e44bb05!8m2!3d0.3145651!4d32.5839546!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGGSAQ1kZW50YWxfY2xpbmlj4AEA!16s%2Fg%2F11c6cbngbb?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D",new,,,
The Hub Dental Practice Kampala,Dental clinic,779101638.0,,,4.8,114.0,"71812, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/The+Hub+Dental+Practice+Kampala/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbbf69914e0af:0x16f55b739af25609!8m2!3d0.3280444!4d32.5704725!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGFaIiIgZGVudGFsIGNsaW5pY3MgaW4ga2FtcGFsYSB1Z2FuZGGSAQ1kZW50YWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJRT0hCeGVVdG5FQUXgAQD6AQQIaBBA!16s%2Fg%2F11scx0j3cy?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D",new,,,
Exploits Dental Clinic,Dental clinic,704552045.0,,,4.9,47.0,"8H9F+5RF, Ben Kiwanuka Rd, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Exploits+Dental+Clinic/@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbbbbbeb4b0bf:0xfabe53d9fe187219!8m2!3d0.3179955!4d32.5745015!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGFaIiIgZGVudGFsIGNsaW5pY3MgaW4ga2FtcGFsYSB1Z2FuZGGSAQ1kZW50YWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJrZERSUU5WaG5FQUXgAQD6AQQIABA3!16s%2Fg%2F11t6qdm_d_?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D",new,,,
Riverside church international kampala lungujja near kalema road.,Dental clinic,,,,,,"8H8J+3M6, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Riverside+church+international+kampala+lungujja+near+kalema+road./@0.341117,32.5526051,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbd000a26a037:0xf845e384a56039ca!8m2!3d0.3151692!4d32.5816313!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGGSAQ1kZW50YWxfY2xpbmlj4AEA!16s%2Fg%2F11w_mk7m4n?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D",new,,,
Mwatu dental clinic,Hospital,754668822.0,,,3.5,4.0,"8H6P+R22, Kampala Road, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Mwatu+dental+clinic/@0.3120091,32.5489524,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbdcafe3cffc3:0x35934a437669d1ff!8m2!3d0.3120091!4d32.5850013!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGGSAQhob3NwaXRhbOABAA!16s%2Fg%2F11h1djntvj?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D",new,,,
The Dental Office Kampala (The D.O.K),Dentist,742395879.0,,,5.0,3.0,"10 Jinja Road, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/The+Dental+Office+Kampala+(The+D.O.K)/@0.3120091,32.5489524,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbd007daa00bf:0x8e32cc3c38ba49e!8m2!3d0.3142707!4d32.5897234!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGFaIiIgZGVudGFsIGNsaW5pY3MgaW4ga2FtcGFsYSB1Z2FuZGGSAQdkZW50aXN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIxT1RWZEZORFJPU0ZadVlqSTVTVmRIWkVaU1ZYUTJXWHBvY2xSdFl4QULgAQD6AQQIVhA5!16s%2Fg%2F11yqsy4nty?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D",new,,,
Hi-Lash Beauty Lounge Uganda,Beautician,752437565.0,,,4.9,9.0,"4 Kiwatule 5826, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Hi-Lash+Beauty+Lounge+Uganda/@0.361893,32.5887951,14z/data=!4m9!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m5!1s0x177dbba48dc2ff2d:0xf330d13239bbd685!8m2!3d0.3618933!4d32.6248442!16s%2Fg%2F11ssczlz0l?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D",new,,,
Roswell Dental Clinic,Dentist,703854898.0,,,4.7,7.0,"Plot 35 Yusuf Lule Rd, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/Roswell+Dental+Clinic/@0.3240959,32.5498561,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbb83cf4d99b1:0xc4f98c32f2550a03!8m2!3d0.3240959!4d32.585905!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGFaIiIgZGVudGFsIGNsaW5pY3MgaW4ga2FtcGFsYSB1Z2FuZGGSAQdkZW50aXN0mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDI1Q2VWWnRNVFphYm1nd1YwVndkazVyV1hoVVZrSllWV3BrYTJKVlJSQULgAQD6AQQIABBD!16s%2Fg%2F11ty27132l?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D",new,,,
RUBAGA DENTAL SURGERY,Dental clinic,705364980.0,,,4.7,37.0,"Rubaga Rd, Kampala ","Kampala, Uganda","https://www.google.com/maps/place/RUBAGA+DENTAL+SURGERY/@0.3100555,32.5282414,14z/data=!4m10!1m2!2m1!1sdental+clinics+in+Kampala,+Uganda!3m6!1s0x177dbdd1b29b1c89:0x2008c0d28ad5ace4!8m2!3d0.3100555!4d32.5642903!15sCiFkZW50YWwgY2xpbmljcyBpbiBLYW1wYWxhLCBVZ2FuZGFaIiIgZGVudGFsIGNsaW5pY3MgaW4ga2FtcGFsYSB1Z2FuZGGSAQ1kZW50YWxfY2xpbmljmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJXTnpWWGIxSjNFQUXgAQD6AQQIABAz!16s%2Fg%2F11l59k7r1z?entry=ttu&g_ep=EgoyMDI2MDEwNi4wIKXMDSoASAFQAw%3D%3D",new,,,
